设备管理器		devmgmt.msc

Direct X控制面板(如果已经安装)	directx.cpl
Direct X诊断工具		dxdiag
磁盘分区管理器		diskpart
显示属性			desk.cpl 或 control desktop
文件夹选项		control folders
显示属性的外观选项卡	control color
文件签名验证		sigverif
IP配置实用程序		ipconfig
键盘属性			control keyboard
鼠标属性			main.cpl 或 control mouse
Internet属性		inetcpl.cpl
密码属性			assword.cpl
电话与调制解调器选项	telephon.cpl
电源选项属性		powercfg.cpl
性能			perfmon
区域和语言选项		intl.cpl
系统属性			sysdm.cpl
用户帐户管理		nusrmgr.cpl
Windows防火墙		firewall.cpl
运行Windows更新		wupdmgr
系统配置实用程序		msconfig
声音和音频设备属性		mmsys.cpl
共享文件夹		fsmgmt.msc
服务			services.msc
Windows安全中心		wscui.cpl
任务计划			control schedtasks
游戏控制			joy.cpl
字符映射表		charmap
证书管理控制台		certmgr.msc
